gene_names,coefficients,valid_p_value,adjusted_p_value
SAE1,-0.08070595714382645,0.008976725544490022,0.04275246266512514
PGLYRP1,-0.10184469233512919,0.00018490334671731213,0.0016616201202741263
APOE,-0.13268789074289572,6.183747419684504e-05,0.0006233970748981434
TYROBP,0.11833059599731548,0.00011123103227816393,0.0010569609095905912
FXYD5,-0.09683953675581847,0.0011605363376924116,0.008190358071557349
UBA2,0.22471296090678236,1e-10,3.747169811320755e-09
CCNE1,0.08440819516914908,0.0071086811749796665,0.03511900699878014
POLD1,0.1759595381017729,3.0487883167474915e-10,1.0262531520441555e-08
PRMT1,-0.09661858207470693,0.0012661397844787369,0.008731088930467956
LDHA,-0.10768185796135196,0.003724473058142797,0.02114385594397103
SNRPA1,-0.11098248714336222,0.0003654346112768627,0.002998979909073758
PRC1,0.0952170823496499,0.0075448500286549765,0.03672566705124702
FAH,0.08008708426441397,0.003610638195408496,0.02060553866690021
POLD3,0.18250441267784495,1.5923518868802645e-10,5.740351286320646e-09
PDE2A,-0.07809787196770382,0.003364123301429526,0.019478568153466585
RRM1,0.13691418956575144,0.00014803085856912788,0.0013673920238059906
ZFP143,0.10365247210841068,0.00035958089311535204,0.0029833393869245894
SWAP70,0.12346093095746619,7.376523250941287e-05,0.0007288445361377808
EIF4G2,0.09535651825523299,0.0011671054049600855,0.008190358071557349
EIF3C,0.12050181190409538,6.562098248832346e-05,0.0006548908101598512
HIRIP3,-0.10874790144119761,0.0008396952951916376,0.006217314584918737
DCTPP1,-0.08528840539275351,0.007472471405976075,0.03650327569394371
RGS10,0.17788461925671953,3.76092569724314e-09,1.0373886714895661e-07
FGFR2,0.15051400463801035,7.663475604536036e-07,1.2475133238203744e-05
TUBGCP2,0.1433319187529404,6.446575083181016e-07,1.075873791193067e-05
IRF7,0.13787942995513325,1.957479962346992e-06,2.9904270809393275e-05
POLR2L,0.1935971730031647,1e-10,3.747169811320755e-09
SHCBP1,0.13926051712289722,0.00014221332490041357,0.0013197928189356137
CKAP2,0.08643403746652463,0.005955216978978339,0.03104215464632803
GM10131,0.16779143252225312,3.86824611822433e-09,1.0523749028484274e-07
CASP3,0.25452827912800513,1e-10,3.747169811320755e-09
TMA16,0.1445374814164246,1.1571821178645264e-07,2.2531016530185776e-06
UBA52,0.3115281093019538,1e-10,3.747169811320755e-09
RBMXL1,0.18043928589122513,3.7252843171536894e-10,1.2128548612897095e-08
IER2,-0.09596480937281246,0.0007536725702758564,0.0057129531472055375
CALR,-0.08792947516806032,0.0027031549720710753,0.016367273702844985
GM42031,0.16931939093829562,3.146285499302322e-08,7.100594320016376e-07
NUP93,0.10003393749581621,0.000749324739014264,0.005701758358936124
GOT2,-0.125564412792197,1.2543572522170665e-05,0.0001551197154779654
TUBB3,0.10660002528467376,7.154502096459325e-05,0.000710442058178411
GUCY1A2,0.11388789487449666,0.0002946078004527904,0.0024791995410984816
TMEM123,0.2038492966890883,1e-10,3.747169811320755e-09
BIRC3,0.1342179547256339,5.570799358818088e-06,7.475410490954543e-05
CEP57,0.10533608079564302,0.00024172495529758287,0.002083825857021172
PPAN,0.12389513076774798,4.91508912569175e-05,0.0005164744446361807
SMARCA4,-0.14734948087623526,4.180246225726714e-06,5.8879212796406055e-05
STT3A,0.22802228539932382,1e-10,3.747169811320755e-09
REXO2,-0.0829844299771105,0.004668766349306365,0.025472994422314398
ZW10,0.1221779793590819,3.537196447179355e-05,0.0003882100741993456
1810046K07RIK,0.12852403125234255,3.538067645019212e-05,0.0003882100741993456
LRRC49,-0.09137256575370613,0.002216841437768013,0.014065965161045602
KIF23,-0.10165204750848568,0.008641718944303108,0.041555578264857077
RPL4,0.10136457308075443,0.0037262586003977143,0.02114385594397103
ANXA2,-0.10815287610199022,0.0072964590611403375,0.035868236869863145
LIPC,0.11396987101032599,0.00022876519268794966,0.0020102994366295044
NEDD4,0.0926550429624727,0.001255185080554093,0.008685705818747138
EEF1A1,0.28373971302864126,8.443827923838437e-06,0.00010889248218664374
IRAK1BP1,0.12619305224356592,3.830051635534406e-05,0.0004111612188200719
GM39383,0.13938206260898997,1.9928047533284247e-06,3.0211528550459936e-05
BFSP2,0.12563471554267988,3.3029406156302525e-05,0.0003685191046427911
TRAIP,-0.08993218115602021,0.0047868490119074136,0.026045704486707188
IMPDH2,-0.11628409059781547,0.00017675824862752339,0.0016102838613498232
SMARCC1,-0.14354550348531953,1.1194480317630379e-06,1.7785790328651146e-05
RPL14,-0.13708987663524227,0.0008421236774134644,0.006217314584918737
1700048O20RIK,0.12758447266417233,2.883741076481153e-06,4.211110130802625e-05
LZTFL1,0.12395317090964786,1.5356778727794796e-05,0.00018261763463754902
BCLAF1,0.10202755544657154,0.0005849161931578056,0.0045376701547320385
ENPP1,0.1015897567675622,0.0005008715873251609,0.003963071603297886
SCML4,0.07791334872752755,0.009779315269588234,0.04591423197494617
PREP,0.07845584020638549,0.008222921002572242,0.03992841347459285
ASF1A,-0.12435153256775419,3.4155778357215616e-05,0.00037895740680128615
CCDC138,-0.08139458118033101,0.0069475455141609944,0.03440854212250308
DDX21,0.10656116210416802,0.00045750462930906245,0.003678559489100397
EGR2,0.08027867962057371,0.004454935121270608,0.024461384496646126
ANK3,0.2164103305616129,1e-10,3.747169811320755e-09
CISD1,-0.13691213691333148,6.814065863493027e-06,9.051020913798056e-05
GSTT1,0.10519117848246792,0.00017042296973693047,0.0015640508202183802
MIF,-0.13602293465285578,8.971948452975238e-05,0.0008734455699808246
VPREB3,-0.08779431291395569,0.005633726561168192,0.02951669395289735
PTBP1,0.279072043997501,1e-10,3.747169811320755e-09
ARID3A,-0.09117593080050117,0.0026129096803831305,0.0159668880776643
EEF2,0.537050166278239,1e-10,3.747169811320755e-09
TBXA2R,-0.11590051363945393,5.056228152088914e-05,0.0005250951831653528
TDG,0.1316471884864299,2.701580147891589e-06,3.9743245731205155e-05
PARPBP,-0.09333480869245242,0.0035100440690723953,0.020147247171034038
UTP20,-0.09562430424179758,0.0009199680327001344,0.006722723115067793
TMPO,-0.16572967807073874,4.015789665191455e-07,7.05783918147808e-06
TMTC2,0.14660668634172436,0.00010992368320262189,0.0010495597828865724
NAP1L1,0.11384435268906838,0.0009263168978455282,0.006738700949161975
NUP107,0.15775933876699005,8.316950622283231e-07,1.3428832468174389e-05
PTGES3,-0.13409140883762632,1.5448017431575143e-05,0.00018261763463754902
GM29585,-0.09951428988739966,0.0012994131050069622,0.008898739401875267
SF3A1,0.19146253887906842,1.6186287615002828e-10,5.740351286320646e-09
CAMK2B,0.1684576687879459,7.936243543282661e-09,2.0206897021742775e-07
PPIA,-0.16923701377565656,0.0042118524236308946,0.023300108393679544
FIGNL1,0.11716533389468764,0.00011405658129250346,0.0010786493830805329
COBL,-0.11173920507118962,0.0006607114514633174,0.005105731294187348
0610010F05RIK,-0.1465127953637034,7.004870468728081e-06,9.213028311850312e-05
NPM1,0.12438255287501801,0.0005525454895426848,0.00430335428326185
RARS,0.1178192321441817,0.00010437558594788735,0.001001400549239151
HAVCR1,0.18805452506300724,1.175665277971914e-10,4.323835633430039e-09
HNRNPAB,-0.3220633321120354,1e-10,3.747169811320755e-09
IRF1,0.083634029528764,0.0020455338877338786,0.01314702362795949
SHMT1,-0.10366997438191175,0.0006955237705482836,0.005333244047524677
CD68,0.14034271821619054,2.223770193123146e-07,4.127483741628568e-06
ENO3,-0.08637820645206729,0.005449803424729175,0.028862158937365708
RPA1,0.24367571385826894,1e-10,3.747169811320755e-09
SERPINF1,0.08334831251710999,0.005079891620642453,0.02726666150971868
ABR,-0.14154458795307406,2.3868940424515617e-05,0.00027701971281803814
KSR1,-0.08218492351724012,0.008902480179805902,0.04260319430625186
SLFN5,0.10705354731647827,0.000759987656949228,0.005724650450171132
PRR11,0.09049552683424388,0.006447039297563057,0.032662806237143446
SKA2,0.09143509316825023,0.002497663387091907,0.015452833292101332
TRIM37,-0.13372870530050301,4.355774187960539e-06,6.0493479281745664e-05
DYNLL2,-0.14459557057455955,3.7319664713173305e-07,6.617576260746624e-06
NME2,-0.14250492732035283,5.4709769018516395e-05,0.0005629720273097076
NGFR,0.16458746277248304,2.44077304785309e-07,4.488310437996515e-06
PHB,-0.09307804742457378,0.0017622326929294416,0.011512480684729839
ATP5G1,-0.17955995018869308,9.477517409985399e-09,2.3825758957254433e-07
FBXO47,-0.07688956110317083,0.006920666852724303,0.03436111092377617
CDC6,0.12985566094550288,0.00024391559725035755,0.002088001621289699
TUBG1,0.08504100313509155,0.006143999862862444,0.03169346422764887
UBTF,0.15137170177196096,3.64949537990426e-07,6.529637679720595e-06
EFTUD2,0.08361874012865655,0.0030241360793675422,0.017874804326261724
TANC2,-0.0808850345733484,0.004471038556033507,0.024461384496646126
DDX5,0.1813398066928407,5.390500035257119e-09,1.4274044093360853e-07
KPNA2,0.18243131109904015,6.064518310628444e-08,1.2804442003713095e-06
NOL11,0.14209048019782008,5.034081609069134e-07,8.618694892768362e-06
GM11683,0.22706717069509103,1e-10,3.747169811320755e-09
NUP85,-0.09671936505794713,0.0016941434932861705,0.01117797002546955
GALK1,0.08340382559808093,0.004143719211006965,0.02311636616028043
SYNGR2,0.10846730740707251,0.0005133258702339707,0.0040454967392248645
MRPL12,-0.1874620905099596,6.75483107575994e-10,2.063860694839883e-08
CENPX,-0.1353385648462914,5.4924216653037395e-06,7.42037376006342e-05
FASN,-0.10904036432428241,0.0002161677770748083,0.0019165589521007557
DDX1,0.13490484638793102,3.2042450652498083e-06,4.644985912106656e-05
ID2,0.07082216142165111,0.01058663947173394,0.04889550230433397
RPS29,0.20132820095590695,7.11475568385006e-07,1.1734906796216156e-05
LRR1,0.1267149997733934,3.752523279571029e-05,0.0004050277844145687
DAAM1,0.1346313402764927,1.4939104509105568e-05,0.00017872928647640757
CCDC175,0.0795947914449481,0.0048410739330814615,0.026197201174658808
RTN1,0.18637984137375616,5.329735550345766e-07,9.046884446997173e-06
PRKCH,0.19479233647947458,1e-10,3.747169811320755e-09
ERH,0.16349234460039658,1.7780661029362596e-08,4.323344787784978e-07
FOS,0.11217236938862658,2.9238967192782702e-05,0.0003280711234173246
BATF,-0.15590890777288782,4.40761275902204e-07,7.678525385454185e-06
GM19951,0.1454337902483301,1.2575163238646742e-05,0.0001551197154779654
CPSF2,0.12250751300689386,5.076448900692233e-05,0.0005250951831653528
IFI27,0.13041058038149195,4.0853007207840575e-06,5.795290879626527e-05
CRIP1,0.16803326932307797,2.6838215770169896e-05,0.0003045754086831852
NCAPG2,0.1008842814658442,0.003856056365926587,0.021818028326866672
PFKP,0.18250679690118315,4.673254353430404e-10,1.4731878009385368e-08
IDI1,0.12222664408538711,0.00022029975349742372,0.0019445124908705933
LARP4B,-0.09222979306492023,0.0029314658637925096,0.017483156773249024
HIST1H2AI,0.13170895560177026,0.00031718981780912126,0.0026579703720207375
HIST1H2AN,0.10828526437662653,0.00627600870818342,0.0321241064290007
HIST1H4I,0.08752283354993981,0.008552702422835646,0.041428456126223395
